Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
DNAH6	1768	0.146399183876234	0.0239310264309285	-0.589464323444445
TPM4	7171	0.146399183876234	0.0239340765323481	0.641154084555557
LOC100288637///OTUD7A	100288637///161725	0.1464174529186	0.0239431031686748	0.639740277166666
		0.1464174529186	0.0239461234531024	-0.464279125722222
F8A3///F8A2///F8A1	474384///474383///8263	0.14646085666424	0.0239577534477224	0.910175680666668
OTOP3	347741	0.146477028153249	0.0239649306913269	-0.54253876822222
TMC1	117531	0.146489875121208	0.0239715649118552	0.366779431444444
AMER2	219287	0.146513641539569	0.0239799871212004	-0.501884935611111
ADAMTS10	81794	0.14653099946856	0.0239873617211148	-0.505627738888887
		0.146533414391778	0.023992290738569	1.10051120094445
HRAS	3265	0.146566309465854	0.0240022114415632	-0.790257057166666
OR10H1	26539	0.146660758810075	0.0240222164271073	0.568528299888891
		0.146669490185906	0.0240281844786477	0.595808948444443
UBE2B	7320	0.14677283207978	0.0240500037449922	-0.811729541944443
C17orf97	400566	0.14677283207978	0.0240552976353987	0.622976430888886
SIX2	10736	0.14677283207978	0.0240619299034496	-0.619126447111111
		0.14677283207978	0.0240632788957877	0.962564418277781
STIP1	10963	0.146899049869053	0.0240885171964352	0.655089061777776
ZNF483	158399	0.14693408547505	0.0240988084249633	-0.657659341277778
LMNTD1	160492	0.146982950805478	0.0241156966710169	0.3133026095
LOC100505549	100505549	0.146982950805478	0.0241159180755995	-0.540428579944445
GPAA1	8733	0.147079912412232	0.0241394561324718	0.598855839
		0.147079912412232	0.0241409280451375	-0.602060441555556
BTG2	7832	0.147149484608996	0.0241569000134691	-0.963581130111113
ARMC7	79637	0.14716832277572	0.024170116021678	-0.482074176833334
KLHDC2	23588	0.14716832277572	0.0241710108675183	-0.906263261833329
OR4S2	219431	0.14716832277572	0.0241752376472144	0.405695576055555
SNORD115-14	100033451	0.14716832277572	0.0241818708005159	-0.381750447722222
TBCEL	219899	0.14716832277572	0.0241827592667879	-0.91459206727778
CSMD3	114788	0.147195229723299	0.0241918850807434	0.402368735666666
PPT2-EGFL8///EGFL8///PPT2	100532746///80864///9374	0.147195229723299	0.0241963520221272	-0.539305962055557
SLC25A14	9016	0.147195229723299	0.0242008431282946	-0.626704691777777
KIAA0087	9808	0.147597701846832	0.0242715814893076	-0.731132639000001
HIST3H2BB	128312	0.14761022602373	0.0242785426633357	-0.952251232888889
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1	644019///445571///220869///150472///55871///644019///445571///220869///55871	0.14761022602373	0.0242837756619088	1.12159450261111
		0.14761022602373	0.0242894942923886	0.747719785944445
MIR26A1	407015	0.14761022602373	0.0242967193205808	-0.786706082333332
		0.14761022602373	0.0243002898458383	-0.582447295166667
RHOG	391	0.14761022602373	0.0243010430578345	0.692838703888889
		0.147611600369318	0.024305836365382	-0.491079725388889
CENPU	79682	0.147678591779763	0.0243214363430487	1.04580012644445
		0.147703246727699	0.0243300666928086	-0.603951393444442
		0.147729940553402	0.0243390344805813	0.636180640611111
ZBTB4	57659	0.147911870498426	0.0243737582014015	-0.534068414111109
ZNF148	7707	0.147911870498426	0.0243781607668424	0.919369256444447
		0.147969200800916	0.0243921877994889	-0.929909951999998
		0.147972982942332	0.0243973895021715	-0.529136588555555
LAT	27040	0.148154339151066	0.0244318748700591	0.75614173216667
FAM90A1	55138	0.148169295803612	0.0244389256498578	0.638626135944445
LPAR4	2846	0.148260333395746	0.0244585284386658	1.07922597761111
LINC01559	283422	0.148314999746468	0.0244721355665948	0.467097757888889
NEDD8-MDP1///MDP1	100528064///145553	0.148321070249067	0.0244777262061361	-0.619225349833335
ACP6	51205	0.148585739093627	0.0245260022296495	-0.933772724944444
GFM2	84340	0.148688610361601	0.02454819604457	0.573707193888888
		0.148688610361601	0.024552183209055	-0.778449803555557
MSH3	4437	0.148694164217956	0.0245577008321355	0.623814379444443
		0.148717752075933	0.0245661977764738	0.566517904777779
		0.14875761115411	0.0245784303497125	1.91150560311111
MAP3K14	9020	0.14875761115411	0.0245819869797996	0.498452914111112
		0.148790561136158	0.0245920354441186	-0.913851072500001
STRIP2	57464	0.148796151371589	0.024597563094533	0.744393305944445
PHF11	51131	0.148868099751179	0.0246177410410485	0.661033072722223
NAXD	55739	0.148868099751179	0.0246271842918741	0.533909078611111
DOCK4	9732	0.148868099751179	0.0246280307587073	0.719060305222222
		0.148868099751179	0.0246280569646769	-0.770887865888889
		0.148868099751179	0.0246324865403084	1.46426925155556
KXD1	79036	0.148991854116953	0.0246575733322478	0.469288670555557
TLE3	7090	0.149101923298203	0.0246804025137027	0.707324953722224
LOC100133091	100133091	0.149116926331505	0.0246874995451838	-0.642158248055556
SLC5A9	200010	0.149121177861317	0.0246928171750183	0.497016671611111
FBXO43	286151	0.149125326315679	0.0246981179965914	0.609562835055555
PLEKHG3	26030	0.149160651757633	0.0247085835682796	0.568185448944445
KRT36	8689	0.149244357882237	0.0247283156270235	-0.497183855999999
		0.149244357882237	0.0247316846885078	-0.449512174722221
		0.149298927531389	0.0247453468266962	0.589428192222223
		0.149327905532304	0.0247584514446343	-0.496178469555556
		0.149327905532304	0.0247593900481921	-0.698859493611108
RNF185	91445	0.149367037938781	0.0247704997788393	0.597152416722223
		0.149434413894448	0.0247862966148366	0.653399379888889
		0.149463442244222	0.0247957358161417	-0.530007969111111
RAB44	401258	0.149514514361872	0.0248122580441271	0.837516472277777
FGF18	8817	0.149514514361872	0.0248175370457726	0.698357268444445
TDP1	55775	0.149514514361872	0.0248210297220815	0.783492529333333
SLC22A25	387601	0.149514514361872	0.0248240987290758	-0.381823005888888
MYRF	745	0.149514514361872	0.0248273382191196	0.513861636722224
OR2T3///OR2T34	343173///127068	0.149533802954562	0.0248351676699387	0.531870669722222
POU2AF1	5450	0.149594870860781	0.0248499384812206	0.712293085611111
OXR1	55074	0.149665010638449	0.0248662203251282	0.579796133111111
PGBD2	267002	0.149739721875064	0.0248832661796036	-0.978868389222222
		0.14976773745919	0.0248937613541099	-1.36907953277778
CAMK2D	817	0.14976773745919	0.0248971892382112	1.49656322333333
ATMIN	23300	0.149873943793949	0.0249194818832549	1.48209600344445
		0.149979710833463	0.0249417080452296	-0.794474391277778
OR52A1	23538	0.149995406510663	0.0249489590483378	-0.371616975333333
RPS27A	6233	0.150110453262122	0.0249727393085125	-1.38250845727778
PLEKHG4B	153478	0.150114561960651	0.0249780673315919	-0.461210970833333
NOL4L	140688	0.150184106383162	0.0249942857038777	-0.822126239055557
SFMBT1	51460	0.150289355018389	0.025016451533026	0.984014956222222
SERPINH1	871	0.150395360593974	0.0250387498949963	-0.758143467388888
DPM3	54344	0.150412867992957	0.0250470035871157	-0.52344545311111
SNORD116-9///SNORD116-8///SNORD116-6///SNORD116-3	100033421///100033420///100033418///100033415	0.150412867992957	0.0250509720740723	-1.53181667922222
SNORD94	692225	0.150421436299782	0.0250570530935932	-1.05865158588889
		0.150481731386922	0.0250739569630389	1.10487573177778
		0.150481731386922	0.0250764086893958	1.49962622361111
ZIM2///PEG3	23619///5178	0.150531685458844	0.0250893904757523	-0.531953182777777
		0.15054709854517	0.0250966172754982	0.402310309388889
		0.150664605029206	0.025125511130913	0.563053952555556
		0.150664605029206	0.0251255289473537	-0.513364671833333
CLP1	10978	0.150757190918565	0.025149242026574	0.48141712322222
MTSS1	9788	0.150757190918565	0.0251502977455185	1.35284887866667
		0.150960673835101	0.0251889147610748	-1.5500238545
BLM	641	0.15108773219889	0.0252147899966218	0.836856900666667
ZNF76	7629	0.151092297959142	0.0252202267098657	-0.517409566500001
NPM1	4869	0.151141947538728	0.0252354724920768	-0.564684956833336
		0.151141947538728	0.0252397450511978	-0.518610911499999
COL5A1	1289	0.151141947538728	0.0252425430158119	-0.646635502055554
POU4F3	5459	0.151181061668286	0.025256927990296	0.420709831777777
		0.151181061668286	0.0252628590826138	-1.137286672
SNORD38B	94163	0.151181061668286	0.0252702756833564	-0.818487162888888
		0.151181061668286	0.0252719246459716	-1.38491366783333
WNK2	65268	0.151181061668286	0.0252724629867191	0.42479732872222
		0.151230934014629	0.0252854790202982	-0.671642382777779
RAD51AP1	10635	0.15124113505125	0.0252918639569321	0.89494364211111
TMEM189-UBE2V1///TMEM189///UBE2V1	387522///387521///7335	0.151412190113338	0.0253251539170417	0.539415560055556
		0.151462591285283	0.0253382701983083	-0.629121510499999
EFCC1	79825	0.15153169415968	0.0253548947999753	-0.529191424055556
SNORA80E	677823	0.15153169415968	0.0253604927211959	-1.35945928533334
C1QL2	165257	0.15153169415968	0.0253638954674628	0.56095109677778
		0.151544186813183	0.0253764977798999	-0.637901194444445
FCER2	2208	0.151544186813183	0.02537970193258	1.06667920683333
		0.151544186813183	0.0253800526970008	-1.02562865244444
UBE2T	29089	0.15160836745148	0.025395492137691	1.01940734183333
STYX	6815	0.151727597604469	0.0254239658644835	0.941821357166668
		0.151727597604469	0.02542485283951	-0.577144349666666
NUP50	10762	0.151733270714982	0.0254304980496599	0.609610057888889
		0.151809755343671	0.025448013813063	1.24785360433333
FZD10	11211	0.151976632827769	0.0254806897464089	0.55103147588889
		0.15205320217146	0.0254982319782592	-1.05308479461111
GNPNAT1	64841	0.152075725472372	0.0255067141420664	-0.605873317111111
SOCS4	122809	0.152198720369006	0.0255346547663876	0.803028392055555
		0.152198720369006	0.0255367612561839	0.805903570999999
TRIM47	91107	0.152244629162623	0.0255495050786398	-0.59097663888889
C15orf52	388115	0.152244629162623	0.0255538848800232	-0.492300589611112
COL26A1	136227	0.1522860159919	0.0255655432310897	0.553773183666665
NIF3L1	60491	0.152424806814126	0.0255955618764105	0.789958350444446
ABHD3	171586	0.152424806814126	0.0256025291243987	-0.75975200211111
		0.152424806814126	0.0256034930237099	-1.25178860355555
CLUHP3	100132341	0.152424806814126	0.0256077070944804	-0.610294620722224
		0.15243108625002	0.0256134782161399	-0.788284732888892
LINC00982	440556	0.152516468619353	0.0256345014996567	-0.755168400888888
LZTFL1	54585	0.152516468619353	0.025642666363641	-0.78678838388889
		0.152516468619353	0.025651872042635	0.459545829666667
SLC32A1	140679	0.152516468619353	0.025655256557303	0.552091707777778
PRKY	5616	0.152516468619353	0.0256578170919497	-1.47037454638889
MAP3K7CL	56911	0.152516468619353	0.0256647029550398	-0.9138736455
		0.152516468619353	0.0256672383664736	-0.510051779499999
LURAP1	541468	0.152516468619353	0.0256681898951961	-0.611185337833334
PRMT6	55170	0.152516468619353	0.0256702945233526	-0.754541082222222
KRTAP9-6///KRTAP9-7///KRTAP9-1///KRTAP9-4///KRTAP9-8///KRTAP9-3///KRTAP9-2///KRTAP9-9	100507608///100505724///728318///85280///83901///83900///83899///81870	0.15251676795928	0.0256750637191437	-0.527433787
CC2D1B	200014	0.152536945932317	0.0256860857357952	0.393120715055556
GNG11	2791	0.152536945932317	0.0256878994062561	-1.16422597627778
NUCKS1	64710	0.152570258026835	0.0256982297793413	0.471454954388891
TGM4	7047	0.152594304524769	0.0257070012727752	-0.436524333555554
ZBTB7B	51043	0.152601365574429	0.0257129122526635	0.585144930333332
UBE4A	9354	0.152657447112605	0.0257270850042499	0.539542411833331
		0.152812786247674	0.0257591556751291	-0.729213565888888
		0.152812786247674	0.0257627199735026	-0.417057380000001
		0.152959660803772	0.0257922140831211	0.735749506222223
EPB42	2038	0.153047121083127	0.0258116969470042	1.41911501722222
		0.153066565115856	0.025819712045161	2.62517203694444
CHST15	51363	0.153091837618745	0.0258287116900781	0.977373631833331
SRP72	6731	0.153224698887022	0.0258605560845456	0.669493084500003
PPP3R1	5534	0.153224698887022	0.0258614320078605	-0.734445483000002
		0.153224698887022	0.025865349374326	0.833720204111109
		0.153870425712286	0.0259791130568962	-0.540266415388888
PPM1B	5495	0.153950905503438	0.0260009001951989	-0.676952898555554
FCRL6	343413	0.153950905503438	0.0260040373459699	1.180518505
CLCC1	23155	0.153950905503438	0.0260069906267991	-0.766058160444446
		0.153953311713459	0.0260121603684045	-1.25184507461111
NPRL3	8131	0.154027170808665	0.0260294052460298	0.716481897666666
CAPS2	84698	0.154033455770368	0.0260352330953103	-0.622754651666668
CNTN3	5067	0.154437952428217	0.0261083806833878	0.483762093777778
DHX40	79665	0.154615559272515	0.0261431896112217	-0.5728708355
TMEM119	338773	0.154727120607337	0.0261693761466105	-0.500406195833333
		0.154727120607337	0.026173608271924	0.447018352166666
POPDC2///COX17	64091///10063	0.154727120607337	0.0261764145750725	0.583135838833332
PTGIR	5739	0.154822344632633	0.0261999759243172	0.954363145611112
HTR7	3363	0.154822344632633	0.0262059997800536	0.801207327888889
		0.154822344632633	0.0262106982454787	-0.381310319888889
GOLGA6L6///GOLGA6L22///GOLGA6L1	727832///440243///283767	0.154822344632633	0.0262116849673514	-1.07515678238889
		0.154851244397894	0.026221368787775	-0.596627806888888
		0.154858037822533	0.0262273103876906	-0.643841951555554
ARRDC1	92714	0.154980835914829	0.0262529029619656	0.565752396111113
PSTPIP1	9051	0.155202563024616	0.0262952642282974	0.72240230172222
SUZ12P1	440423	0.15523123130982	0.0263049241633577	-0.512355810555555
		0.155262614415037	0.0263150459999867	0.682443649888888
CGGBP1	8545	0.155469492200901	0.0263549193332118	-0.464477669222223
		0.155501195243526	0.0263651047286445	-2.01565259627778
		0.155526556937995	0.0263806731603716	-0.551763428333338
		0.155526556937995	0.0263837117650341	-0.487594643722221
HTR5A	3361	0.155526556937995	0.0263838405894319	0.479583195444442
SYT1	6857	0.155547370575613	0.0263921840362816	-1.05799030044444
LSP1	4046	0.155562291764486	0.0263995287994867	0.763448670666667
MBD4	8930	0.15559192392103	0.0264102136766395	0.408235659055555
		0.15559192392103	0.0264141854074655	-0.684807433777781
LOC102724093///GOLGA6L3///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	102724093///100133220///647042///643707///642402///440295///374650	0.15585290868058	0.0264633137229363	1.041643047
DICER1-AS1	400242	0.155929405964298	0.0264811271104865	-0.60183999488889
DTYMK	1841	0.155971672197816	0.0264931307931688	0.793731633277777
LOC157740	157740	0.156104309957738	0.0265244505116568	-0.752658316944443
		0.156104309957738	0.0265253200794498	0.663485563277781
RPS8	6202	0.156123140901227	0.0265333502357737	-0.408155453888888
		0.15617885622605	0.0265476512516915	-1.15412809816667
		0.156367937884122	0.0265846297661969	-0.489153173333332
		0.156393520019612	0.0265938178282785	0.654382610611113
		0.156615605174273	0.0266364277603718	-0.790743780555556
OR5M9	390162	0.156702322639278	0.0266581086287299	0.551174440555556
LGALS2	3957	0.156702322639278	0.0266608728750159	1.70649550038889
RPL24	6152	0.156871181619702	0.0266953958664484	-0.856051782166663
RALGPS2	55103	0.156871181619702	0.026700939084412	-0.746784693888888
		0.156871181619702	0.0267041626580737	-0.559995192277777
		0.156980600004571	0.026727645859508	-0.718147693500001
RBSN	64145	0.157071617093152	0.0267480022425268	-0.490046674333334
TXNRD2	10587	0.157120299939469	0.0267611537751547	0.573784488222221
CLCN5	1184	0.157188781300033	0.0267776810692115	0.73334099
		0.157253013035601	0.0267959848960598	-1.27470763383333
BIRC6	57448	0.157253013035601	0.0267990018834822	0.332585922055555
DENR	8562	0.157253013035601	0.0268032192324844	-1.11245611016667
CD248	57124	0.157273300532987	0.0268115431433668	0.682628345111111
STK38L	23012	0.157450573914047	0.026846635711776	0.687382202222222
CHST7	56548	0.157463911393446	0.0268537817394472	0.535914096555557
		0.157467911541198	0.0268593359217421	-0.21927665
		0.157611689633813	0.0268887366306996	-0.9087427745
JOSD1	9929	0.15780356874395	0.0269311781651476	0.608659696777774
MAP1LC3B2///MAP1LC3B	643246///81631	0.15780356874395	0.0269340523991147	1.29245632038889
TBC1D3P5	440419	0.15780356874395	0.0269361185842137	-0.47512570672222
		0.157913358521665	0.0269597448198555	-0.726220723888889
PCDH7	5099	0.157918276160628	0.026965984504751	0.427540904277778
		0.157918276160628	0.0269703562515599	-1.48123450783333
OCIAD2	132299	0.157934034881819	0.0269779340547174	-0.935455517055556
PFDN1	5201	0.157967121535185	0.0269900735082737	0.788132591777779
C11orf98///LBHD1	102288414///79081	0.157967121535185	0.0269941836938138	0.679339808222221
LGALS3BP	3959	0.157967121535185	0.0270014170581614	1.14566255638889
		0.157967121535185	0.0270031356233377	1.44053433577778
PSMD2	5708	0.158017343514483	0.0270203070845511	0.663040231166669
		0.158017343514483	0.0270214986418907	1.06478556277778
KLHL28	54813	0.158065377646114	0.0270346031257608	-0.708415723444441
		0.158085548958861	0.0270455937491511	-0.807478266888888
		0.158085548958861	0.0270487397864181	-0.263403886
		0.158085548958861	0.0270527264407494	1.78628616811111
OR4D10	390197	0.158093924978735	0.0270590511736135	0.46002216888889
LOC400590	400590	0.158110551655017	0.0270684201483463	-0.963300402722222
AGMO	392636	0.158110551655017	0.0270716807295215	-0.380092611555555
PRDX4	10549	0.158314460225517	0.0271146590122752	0.705172940333333
TUBB2A	7280	0.158314460225517	0.0271212778195043	1.00537822883333
TOB2P1	222699	0.158314460225517	0.0271260298322043	0.563400026333334
SLC22A4	6583	0.158314460225517	0.027131092185712	0.771304498944444
VKORC1L1	154807	0.158314460225517	0.027134493829651	-0.829254762277778
DUSP7	1849	0.158314460225517	0.0271359830961098	1.28207883905556
C7orf49	78996	0.15841068248198	0.0271573772975047	-0.477021019999998
B3GNT3	10331	0.158440189663737	0.0271673379881944	0.521055629333334
AIFM3	150209	0.158450436162382	0.027173997328303	0.510707660833333
ZNF792	126375	0.158481493001154	0.027187029149812	-0.758108585055557
ID4	3400	0.158481493001154	0.0271891302463228	-0.724411693666669
		0.158517536208726	0.0272002183043098	-0.708790867277778
		0.158540782188886	0.0272191329259147	0.833813342444443
EXO1	9156	0.158540782188886	0.0272233791380823	0.965310975111111
		0.158540782188886	0.0272236676388556	-0.890389513666667
		0.158540782188886	0.0272243554578441	-0.641738246055556
		0.158540782188886	0.0272287330816035	0.373822962777778
PTPN12	5782	0.158555943199407	0.027240090827139	1.09740271961111
MFSD12	126321	0.158555943199407	0.0272411482499399	0.608487841111113
CLTC	1213	0.158641922239598	0.0272608284433875	0.561023504666666
TRMT2A	27037	0.158688633278894	0.0272737649783193	0.455389286499999
BLNK	29760	0.158806010672414	0.0272988519939338	1.17312003888889
METTL15	196074	0.158887635864462	0.0273177993409491	-0.729728047277776
HECTD3	79654	0.158929037608341	0.0273313614638209	0.487040251499998
		0.158929037608341	0.0273347520208151	-0.601420773777776
MRPS23	51649	0.159147002586804	0.0273771645178871	0.670884007666667
ZFYVE9	9372	0.159181920043787	0.0273880962025773	-0.741575742555555
NUAK2	81788	0.159200223835322	0.0273961710643872	0.68677598938889
		0.159279914451214	0.0274148127871075	0.6360072335
LOC100131508	100131508	0.159490158311774	0.0274559339391328	0.751292989055556
CAPRIN2	65981	0.15949677655959	0.0274652112044482	-1.09777825333333
ARL13B	200894	0.15949677655959	0.0274669428028426	-0.618730932277778
DPY19L2	283417	0.159664537066788	0.0275039609164402	-1.13545263216667
		0.159664537066788	0.0275057127684129	0.621979896111108
		0.159668324458924	0.0275113053096052	1.15434167561111
HDDC2///HDDC2	51020///51020	0.15967429622205	0.0275205618323121	0.601489501888889
		0.15967429622205	0.0275263579318324	1.604379637
THUMPD2	80745	0.15967429622205	0.0275289753165386	-0.570705630166667
SMIM21	284274	0.15967429622205	0.0275362851829322	-0.527478229555555
		0.15967429622205	0.0275370355849666	-1.06191387344444
CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7	114336///114335///94115///94027///93659///3972///1082///94027	0.159738429071992	0.0275572040869613	0.479613502
USP12	219333	0.159738429071992	0.0275579802761495	-1.77975175333333
ZNF587///ZNF587B///ZNF587	84914///100293516///84914	0.159877558810569	0.0275869294108023	0.662728831055558
SNORD115-44///SNORD115-43///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-36///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-9///SNORD115-7///SNORD115-5///SNORD115-3///SNORD115-2///SNORD115-1///SNRPN	100033818///100033817///100033815///100033814///100033813///100033810///100033803///100033802///100033801///100033799///100033460///100033458///100033456///100033455///100033454///100033450///100033449///100033448///100033446///100033444///100033442///100033440///100033437///338433///6638	0.160019883659458	0.0276199934803742	-0.685580811055555
MUC15	143662	0.160019883659458	0.027625558405454	-0.385234357
CNKSR3///CNKSR3	154043///154043	0.160019883659458	0.0276263404851265	-0.661385850666667
LOC729603	729603	0.160182927586451	0.0276594449076446	0.718462620055556
MEFV	4210	0.16025504883058	0.0276768566124902	1.16866216355556
ERMARD	55780	0.160305683238336	0.0276982976922612	-0.73731799788889
TCEA3	6920	0.160305683238336	0.0276991551024024	0.943888324722222
		0.160305683238336	0.0277004808293712	-0.929010089444443
FAF1	11124	0.160324314571417	0.027708660660126	0.60032915988889
ANKRD12	23253	0.16045241686358	0.0277357647664621	0.942876888055559
CHD5	26038	0.160531685357117	0.0277544338905223	0.464774696111113
SEP15	9403	0.160569002644778	0.0277658536487628	0.826605124944445
		0.160750704378916	0.0278022473771895	-0.95331803838889
		0.160794349375227	0.0278148361563292	-0.832470268277779
		0.160794349375227	0.0278197457289771	0.799507940777783
TBC1D32	221322	0.160806152567392	0.0278267631357143	-0.77280487688889
		0.160833743881568	0.0278402466149676	-1.00341545344444
		0.160833743881568	0.0278414899606254	-0.848010465833333
STX11	8676	0.161150729760708	0.0279013484651132	1.39594243855556
SNORD75	692195	0.161229935853821	0.027920050461738	1.052292007
		0.161329083682886	0.0279491893909361	-0.938468454833333
		0.161329083682886	0.0279517254115083	-1.20510649788889
SPPL3///SPPL3	121665///121665	0.161329083682886	0.0279560375566226	-0.470116924555553
GP6	51206	0.161329083682886	0.0279571856597211	0.650090415277777
		0.161345568610016	0.0279650343539281	-0.929289031611114
		0.161386054792387	0.0279770448006481	-0.408762252833335
		0.161476952991818	0.0280004713763641	0.323843210500001
RELT	84957	0.161476952991818	0.0280051887535937	0.558534427111116
ERCC1	2067	0.161476952991818	0.0280077905532666	0.441868410111112
HMP19	51617	0.161493480670629	0.0280156537891841	0.459765889055555
LOC55338	55338	0.161508496805222	0.0280232557805663	0.58550156788889
NGEF	25791	0.161701877742527	0.0280618122043821	0.50274536638889
		0.161820949250494	0.0280874826055899	0.416311461444444
LRRC36	55282	0.161991396430732	0.0281235385465165	-0.533444519055556
ZNF672	79894	0.161991396430732	0.0281272434385114	-0.405377207555556
COA4	51287	0.161991396430732	0.0281321032197548	0.580463947499998
		0.161997937164871	0.0281411543692617	1.19483973255556
ZNF550	162972	0.161997937164871	0.0281432634256597	-0.690104519000001
HMGB3P1	128872	0.162149289525985	0.0281745741152171	-0.588802484666665
PMCHL1	5369	0.162198431834154	0.0281905187485185	-0.418515155
COX7A2L	9167	0.162198431834154	0.028193149656393	-0.804107009888886
		0.162271196722583	0.0282108181796416	-1.65594288116667
		0.16233220864705	0.0282264475912386	-0.377879501111114
VPS13B	157680	0.162476087700145	0.0282583595472465	0.4761207555
CYP2C19	1557	0.162476087700145	0.0282685658605593	-0.548218900833334
M1AP	130951	0.162476087700145	0.028269057198374	0.638468915222223
PHYH	5264	0.162476087700145	0.0282751693083632	-0.577663356611112
TNNC1	7134	0.162476087700145	0.0282766001458282	0.505180254222224
RAD23A	5886	0.162539455467248	0.0282926572958367	0.578851257722222
ZRSR2	8233	0.162547507558527	0.0282990880551911	0.60638815677778
		0.162553237489572	0.028306006060567	-1.875160435
NACC1	112939	0.162553237489572	0.0283115276895645	0.524350036888889
PAK1	5058	0.162553237489572	0.0283151736352926	0.920662171500001
ORM2	5005	0.162732982637786	0.0283560977968421	0.86504314888889
CH25H	9023	0.162732982637786	0.0283565532692681	0.7544477465
CD72	971	0.162902906550858	0.0284109283684932	0.686334674
HAPLN4	404037	0.162902906550858	0.0284121346751298	-0.648396880777776
		0.162902906550858	0.0284132253733058	-0.688947021722223
LOC101928841	101928841	0.162902906550858	0.0284175784161656	0.48851401761111
AP1G2	8906	0.162902906550858	0.0284195113116036	-0.388789203555554
		0.162902906550858	0.0284225739476081	-0.601800867
		0.162902906550858	0.0284300543494417	-0.878806774333333
		0.162902906550858	0.0284339746634008	-0.605275201166665
PSMD11	5717	0.162902906550858	0.0284394662042597	0.50791902666667
TNFAIP6	7130	0.162902906550858	0.0284410801727782	1.23641068983333
ABT1	29777	0.162902906550858	0.0284416045811235	0.582622011277779
FAM65B	9750	0.162906648850412	0.0284472982306155	0.755198301166665
		0.162923795725846	0.0284612088835706	-0.729810113333333
FAM198B	51313	0.162923795725846	0.0284690065525282	1.41299918683333
SLC39A8	64116	0.162923795725846	0.028470278301318	-0.677732392833335
KRT73	319101	0.162923795725846	0.0284746284913434	0.586389776444445
PPP1R14B///LIMK2	26472///3985	0.162923795725846	0.0284754964900623	0.388271789944445
FAM8A1	51439	0.162965335392227	0.0284877987984928	-0.370747259444443
		0.162992793238094	0.0284976416134548	-0.794423235555556
KRTAP10-9	386676	0.163112519680369	0.0285239971150269	0.758182235388889
EIF2D	1939	0.163112519680369	0.028528667855361	-0.523307736444446
SLC7A7	9056	0.163122786358444	0.0285401484434532	1.63077926966667
		0.163122786358444	0.0285405574350114	-0.590701781666668
ALX3	257	0.163176011278293	0.0285563442933642	0.504672578944444
		0.163176011278293	0.0285599670740788	0.457348103555554
FBXO5	26271	0.16317982363804	0.0285656830588172	0.904598429888886
		0.163248285789889	0.0285889422069222	0.547750170222222
PRELID3A	10650	0.163248285789889	0.028589485884743	-0.522406852777777
NANOGP1///NANOG	404635///79923	0.163248285789889	0.0285928203290914	-0.66964016688889
LCN1	3933	0.163311915778938	0.028615702595572	0.828593552611111
GOPC	57120	0.163311915778938	0.0286178924310128	-0.68107886561111
		0.163311915778938	0.0286191235101607	0.469856768166666
SIRPG	55423	0.163495228555265	0.0286568143924556	0.743875122000001
RAET1E-AS1	100652739	0.163495228555265	0.028665498577477	0.488674005555556
		0.163495228555265	0.0286664230754831	0.66302568238889
		0.163556594151009	0.0286822429890139	-1.70068165172222
HCST	10870	0.163760031723867	0.0287229856700783	1.08102905494444
		0.163774760148488	0.0287338051629939	0.885274177555556
MRPL13	28998	0.163774760148488	0.0287423395936008	0.727420111388891
PICALM	8301	0.163774760148488	0.0287449881113683	0.686970284555558
CEMIP	57214	0.163774760148488	0.0287458375150018	0.456786660666666
DHRS1	115817	0.163873564900513	0.0287682499689214	-0.520149176944444
		0.163973247488927	0.0287910612738523	-0.379208133777777
SIGLEC6	946	0.163973247488927	0.0287979054940676	1.09683481938889
		0.163973247488927	0.0288009692148955	-0.509435243611112
		0.164122794869335	0.028834099938783	0.758076380777776
		0.164122794869335	0.0288373921618437	-0.652339464222223
ZNF638	27332	0.164135887523987	0.0288447709271448	-0.558066541333332
KDM8	79831	0.164186044155916	0.0288586651666025	0.529712315944444
CHDH	55349	0.164225607699855	0.0288707002552698	0.49567866211111
		0.164398679833531	0.0289062126015271	-0.312756419333333
SPATA20	64847	0.164445630429857	0.0289195558108755	0.742473353999999
GABRE	2564	0.164528249592363	0.028939175735051	0.5427237845
PPFIBP2	8495	0.164542450664812	0.0289509844966629	0.838312034777778
OR2A5	393046	0.164542450664812	0.0289588181044972	-0.433996075999999
		0.164542450664812	0.0289598260191641	0.939510382111112
		0.164542450664812	0.0289620371223698	-0.729680520111113
SLC26A11	284129	0.164565087680541	0.0289711131741677	0.536462784000001
CCDC191	57577	0.164582173185678	0.0289792131307723	-0.562556767555556
		0.164597977781142	0.0289883428791064	-0.959854482944445
NCAM1	4684	0.164597977781142	0.0289928044274365	1.46785902288889
PYCR1	5831	0.164597977781142	0.0289984738796788	0.453917736055555
